date,open,high,low,close,volume
2022-05-05,120.22,121.23,115.18,116.75,43090000
2022-05-06,115.52,117.50,114.14,115.66,35310000
2022-05-09,113.30,115.56,112.55,113.08,34520000
2022-05-10,116.04,116.69,113.38,114.58,31158000
2022-05-11,113.71,116.67,113.65,113.96,36502000
2022-05-12,111.94,114.86,110.11,113.16,41464000
2022-05-13,114.85,118.08,114.00,116.52,29738000
2022-05-16,115.38,116.61,114.33,114.79,23282000
2022-05-17,117.23,117.23,115.34,116.70,21576000
2022-05-18,115.24,115.70,112.14,112.40,27982000
2022-05-19,111.84,113.59,110.47,110.75,29192000
2022-05-20,112.09,112.55,106.37,109.31,37586000
2022-05-23,110.10,112.01,109.15,111.67,31558000
2022-05-24,106.38,106.39,102.21,105.93,60386000
2022-05-25,105.14,106.54,104.21,105.84,37900000
2022-05-26,106.05,108.96,105.49,108.30,30288000
2022-05-27,109.79,112.87,109.55,112.80,29924000
2022-05-31,113.08,116.43,112.57,114.04,51302000
2022-06-01,114.93,117.40,113.55,114.14,28630000
2022-06-02,114.19,117.90,113.31,117.75,27472000
2022-06-03,115.99,116.36,113.67,114.56,25052000
2022-06-06,116.74,119.40,116.53,117.01,23786000
2022-06-07,115.65,117.75,115.13,117.23,26414000
2022-06-08,116.88,118.65,116.70,117.24,22544000
2022-06-09,116.34,118.35,114.87,114.92,23142000
2022-06-10,112.78,113.50,110.86,111.43,31324000
2022-06-13,107.45,109.22,106.59,106.88,36756000
2022-06-14,106.89,108.46,106.35,107.19,25480000
2022-06-15,108.90,112.06,108.12,110.39,33192000
2022-06-16,108.15,109.29,105.79,106.64,35314000
2022-06-17,106.54,109.25,105.63,107.87,43516000
2022-06-21,109.70,112.67,109.29,112.01,39010000
2022-06-22,111.16,113.77,110.72,112.03,23922000
2022-06-23,112.95,113.20,111.03,112.68,24710000
2022-06-24,113.60,118.64,113.60,118.54,39122000
2022-06-27,118.93,119.25,116.00,116.62,32840000
2022-06-28,116.35,117.86,112.44,112.57,28232000
2022-06-29,112.15,113.66,111.55,112.26,18628000
2022-06-30,110.50,111.33,107.31,109.37,38046000
2022-07-01,108.34,109.81,107.11,109.08,31028000
2022-07-05,107.51,114.05,106.25,113.89,36398000
2022-07-06,114.09,116.35,112.25,115.21,28852000
2022-07-07,116.01,119.86,115.53,119.31,32184000
2022-07-08,117.55,120.43,117.51,120.17,29082000
2022-07-11,118.65,118.79,116.23,116.52,26718000
2022-07-12,116.84,117.85,114.61,114.85,24970000
2022-07-13,112.64,115.16,111.82,112.19,38958000
2022-07-14,110.83,111.99,109.33,111.44,32366000
2022-07-15,112.96,114.00,111.82,112.77,34330000
2022-07-18,113.44,114.80,109.30,109.91,33354000
2022-07-19,111.73,114.81,110.50,114.62,30992300
2022-07-20,114.06,116.33,113.26,114.70,26780100
2022-07-21,115.09,115.21,111.91,115.04,27267800
2022-07-22,111.81,113.18,107.60,108.36,44455300
2022-07-25,108.88,110.58,107.01,108.21,28289900
2022-07-26,107.43,107.74,104.76,105.44,36626600
2022-07-27,109.60,114.40,108.42,113.60,41474600
2022-07-28,112.80,114.70,111.85,114.59,23303800
2022-07-29,113.40,116.90,113.23,116.64,31336200
2022-08-01,115.53,117.12,114.69,115.48,22856200
2022-08-02,114.43,117.08,114.26,115.90,17911000
2022-08-03,116.34,119.42,116.15,118.78,25302800
2022-08-04,118.30,119.50,117.71,118.87,15757700
2022-08-05,116.93,118.86,116.71,118.22,15615700
2022-08-08,119.12,120.86,117.83,118.14,17061100
2022-08-09,117.99,118.20,116.56,117.50,15424300
2022-08-10,119.59,121.78,119.36,120.65,20497000
2022-08-11,122.08,122.34,119.55,119.82,16671600
2022-08-12,121.16,122.65,120.40,122.65,16121100
2022-08-15,122.21,123.26,121.57,122.88,15525000
2022-08-16,122.32,123.23,121.54,122.51,15626200
2022-08-17,120.93,122.15,120.20,120.32,17589200
2022-08-18,120.23,121.69,119.55,120.86,15652000
2022-08-19,119.87,120.00,117.67,118.12,20187000
2022-08-22,116.10,116.50,114.67,115.07,19316000
2022-08-23,114.32,115.93,114.30,114.77,14390700
2022-08-24,114.45,115.72,113.78,114.70,16051200
2022-08-25,115.15,117.78,115.05,117.70,14874700
2022-08-26,115.81,116.60,111.22,111.30,31698700
2022-08-29,110.78,111.96,109.81,110.34,20386100
2022-08-30,111.03,111.37,108.80,109.91,20548200
2022-08-31,111.63,111.77,109.05,109.15,25898000
2022-09-01,109.20,111.22,108.19,110.55,22784400
2022-09-02,111.34,111.68,108.13,108.68,20601600
2022-09-06,108.14,108.88,106.51,107.48,20565100
2022-09-07,107.76,110.99,107.61,110.48,22987200
2022-09-08,109.18,110.58,108.06,109.42,21660700
2022-09-09,110.05,112.00,110.00,111.78,21732900
2022-09-12,111.99,112.64,110.93,111.87,19732900
2022-09-13,108.89,109.37,105.00,105.31,33015000
2022-09-14,105.44,106.10,104.50,105.87,22115800
2022-09-15,105.01,106.21,103.31,103.90,26494900
2022-09-16,102.97,104.03,101.86,103.63,64518900
2022-09-19,102.54,104.02,102.37,103.85,19738600
2022-09-20,102.88,103.17,101.12,101.83,24001700
2022-09-21,102.24,103.49,99.99,100.01,26596800
2022-09-22,99.45,101.68,99.41,100.57,21272700
2022-09-23,100.06,100.11,98.01,99.17,25645100
2022-09-26,98.61,100.44,98.38,98.81,22437900
2022-09-27,99.91,100.46,97.34,98.09,24225000
2022-09-28,98.02,101.40,97.80,100.74,24617000
2022-09-29,99.30,99.30,96.52,98.09,21921500
2022-09-30,97.73,99.49,96.03,96.15,26248200
2022-10-03,97.22,99.97,97.02,99.30,24840000
2022-10-04,101.04,102.72,101.04,102.41,22580900
2022-10-05,100.69,102.74,99.74,102.22,18475500
2022-10-06,101.50,103.73,101.50,102.24,17156200
